"OBJECT_ID","OWNER","REPOS","HEALTH_SCORE","HEALTH_SCORE_BY_AVERAGING","FORK_RATIO","STAR_RATIO","COMMITS_PER_DAY_RATIO","COMMITS_PER_DAY_PER_PERSON_RATIO","PR_OPEN_TIME_RATIO","PR_MERGE_TIME_RATIO","ISS_OPEN_TIME_RATIO","ISS_CLOSE_TIME_RATIO"
65794292,"styled-components","styled-components",0,0.0538,0.049970564809364,0.080574046002768,0.052401185270611,0.064725375449482,0.071810988739426,0.064636830658417,0.010403836681719,0.020173802676663
99598595,"parcel-bundler","parcel",0,0.0529,0.050593898258129,0.105931589006788,0.03270245935966,0.024183882112388,0.068069380658842,0.042854889965763,0.017949894055352,0.012379126454441
21413198,"immutable-js","immutable-js",0,0.0528,0.055580565848253,0.09109273050814,0.005793742799202,0.043890573221462,0.300303552664794,0.031111282468554,0.203260782308781,0.033477333598538
73681508,"Tencent","wepy",0,0.0514,0.091491498424352,0.059563039609833,0.055491181142747,0.054008319819502,0.054964638610689,0.04082912369678,0.063952151975678,0.013663961758262
147350463,"leonardomso","33-js-concepts",0,0.0505,0.094712054576306,0.091837474461214,0.029612462550225,0.014485972643305,0.014066278007184,0.006234733457514,0.026964423417291,0.009324220279174
3122202,"Reactive-Extensions","RxJS",0,0.0469,0.078401496000277,0.064832267844197,0,0.056654822675034,0.19691554711121,0.025421144383907,0.872262142361169,0.01887021399176
75104123,"prettier","prettier",0,0.0466,0.06212556706029,0.106864166611745,0.06785116556859,0.092258337446239,0.064501688009124,0.008588756327842,0.015217227294809,0.008948368544059
95876775,"elsewhencode","project-guidelines",0,0.0458,0.06569241957267,0.065053054768339,0.000514999368261,0.006989912571388,0.021778361271183,0.006942118401032,0.111642595848375,0.045632268936292
47071941,"redux-saga","redux-saga",0,0.0417,0.05457630640302,0.059632241481579,0.028067465082807,0.040964535006698,0.024782679823107,0.016514038056882,0.074038653568671,0.035991201462476
67962648,"vuetifyjs","vuetify",0,0.0395,0.078159088547979,0.064726817372965,0.225698465716796,0.210992032715222,0.081736049365223,0.013496808333755,0.00398799566969,0.001447800225132
71995937,"nuxt","nuxt.js",0,0.0392,0.06171001142778,0.068664733408028,0.185013528971345,0.128957202284425,0.110052351337507,0.023360303388353,0.009625210977948,0.003083264946657
128907699,"iamkun","dayjs",0,0.036,0.03456037677044,0.07252026626244,0.040942448352023,0.022667982796306,0.02350161230154,0.015977475064145,0.029576156906354,0.020787175457875
13078968,"postcss","postcss",0,0.0347,0.039858711084947,0.069373228761616,0.016479979859323,0.078333215821759,0.098565865280463,0.003825822656292,0.01823316683629,0.025760742011828
94498635,"dawnlabs","carbon",0,0.0341,0.034664265678568,0.066572200619522,0.069009915309427,0.034301628710428,0.036960559512589,0.020861965421675,0.015889510956818,0.014315298701175
